token	count	p
कसे	1	0.00234192
कसेतरी	1	0.00234192
काम	1	0.00234192
काय	1	0.00234192
काहीच	1	0.00234192
काहीही	1	0.00234192
किंवा	1	0.00234192
कुणीच	1	0.00234192
कुशल	1	0.00234192
कृषी	1	0.00234192
कॅप्टन	1	0.00234192
केला	1	0.00234192
केले	1	0.00234192
केलेली	1	0.00234192
केलेल्या	1	0.00234192
कोणतीही	1	0.00234192
कोरोना	1	0.00234192
कोरोनाची	1	0.00234192
क्राईम	1	0.00234192
क्षेत्रांत	1	0.00234192
खरंतरं	1	0.00234192
खांद्यावर	1	0.00234192
गणित	1	0.00234192
गर्भपोषण	1	0.00234192
गुन्हेशाखा	1	0.00234192
घटकाचा	1	0.00234192
घट्ट	1	0.00234192
घरफोडी	1	0.00234192
घरी	1	0.00234192
घेणं	1	0.00234192
घेतला	1	0.00234192
चंद्रकांत	1	0.00234192
चयापचयावर	1	0.00234192
चांदीचे	1	0.00234192
चित्र	1	0.00234192
छान	1	0.00234192
जणांना	1	0.00234192
जनावरांचा	1	0.00234192
जन्मजात	1	0.00234192
जप्त	1	0.00234192
जाईल	1	0.00234192
जाणे	1	0.00234192
जातात	1	0.00234192
जानेवारीपर्यंत	1	0.00234192
जीवशास्त्र	1	0.00234192
जेव्हा	1	0.00234192
झाला	1	0.00234192
झाली	1	0.00234192
झाल्या	1	0.00234192
झाल्याचे	1	0.00234192
टक्के	1	0.00234192
टाकला	1	0.00234192
टिव्हीवरील	1	0.00234192
टीकेला	1	0.00234192
टीम	1	0.00234192
टीमवर्कमुळे	1	0.00234192
टीमही	1	0.00234192
टॅक्सी	1	0.00234192
टॅक्सीत	1	0.00234192
टोला	1	0.00234192
ठरलं	1	0.00234192
ठेवण्यात	1	0.00234192
ठेवून	1	0.00234192
डोके	1	0.00234192
तंत्र	1	0.00234192
तंत्राचा	1	0.00234192
तंत्राचे	1	0.00234192
तयार	1	0.00234192
तरी	1	0.00234192
ताब्यातून	1	0.00234192
तिथे	1	0.00234192
तिलाही	1	0.00234192
ती	1	0.00234192
तीनच्या	1	0.00234192
तुटवडा	1	0.00234192
तेवढीच	1	0.00234192
तेव्हा	1	0.00234192
त्यांच्या	1	0.00234192
त्याचा	1	0.00234192
त्याची	1	0.00234192
त्याच्या	1	0.00234192
त्याच्याशी	1	0.00234192
त्यानुसार	1	0.00234192
त्यामध्ये	1	0.00234192
त्वचारोपणासाठी	1	0.00234192
देणं	1	0.00234192
देण्याचा	1	0.00234192
देताना	1	0.00234192
धंद्रे	1	0.00234192
धडपड	1	0.00234192
नक्कीच	1	0.00234192
नव्हतं	1	0.00234192
नव्हती	1	0.00234192
नाॅर्मल	1	0.00234192
निदान	1	0.00234192
नियंत्रण	1	0.00234192
निर्माण	1	0.00234192
नुसतीच	1	0.00234192
न्यूज	1	0.00234192
पब्लिसिटीसाठी	1	0.00234192
परिस्थिती	1	0.00234192
पवित्रा	1	0.00234192
पाटलांना	1	0.00234192
पाय	1	0.00234192
पाहून	1	0.00234192
पेट्रोल	1	0.00234192
पेशींच्या	1	0.00234192
पेशींवर	1	0.00234192
पॉझिटिव्ह	1	0.00234192
पोलिसांनी	1	0.00234192
पोलीस	1	0.00234192
पोषण	1	0.00234192
पोहोचली	1	0.00234192
प्रकाश	1	0.00234192
प्रतिक्रिया	1	0.00234192
प्रत्येक	1	0.00234192
प्रदेश	1	0.00234192
प्रदेशात	1	0.00234192
प्रयोगशाळेत	1	0.00234192
प्रामुख्याने	1	0.00234192
फिक्स	1	0.00234192
फॉर्मुला	1	0.00234192
बंद	1	0.00234192
बरेच	1	0.00234192
बसली	1	0.00234192
बसून	1	0.00234192
बाधा	1	0.00234192
बाधितांची	1	0.00234192
बाबी	1	0.00234192
बाळासाहेब	1	0.00234192
बॅण्डस्टॅडला	1	0.00234192
बोलतं	1	0.00234192
बोलता	1	0.00234192
भरणारा	1	0.00234192
भरवला	1	0.00234192
भाजपचे	1	0.00234192
भाजलेल्या	1	0.00234192
भावना	1	0.00234192
भौगोलिक	1	0.00234192
मंत्री	1	0.00234192
मंत्र्यावर	1	0.00234192
मला	1	0.00234192
महसूल	1	0.00234192
माझी	1	0.00234192
मात्र	1	0.00234192
माध्यमिक	1	0.00234192
मालिका	1	0.00234192
मिळवले	1	0.00234192
मुके	1	0.00234192
मुख्यमंत्र्यांनी	1	0.00234192
मुलीला	1	0.00234192
म्हणजे	1	0.00234192
म्हणत	1	0.00234192
याचं	1	0.00234192
यावर	1	0.00234192
यावेळी	1	0.00234192
युतीचा	1	0.00234192
येणार	1	0.00234192
राणे	1	0.00234192
राहणाऱ्या	1	0.00234192
राहा	1	0.00234192
रुग्णाच्या	1	0.00234192
रुपयांचा	1	0.00234192
रुपये	1	0.00234192
रोख	1	0.00234192
रोगांचे	1	0.00234192
रोपण	1	0.00234192
रोवत	1	0.00234192
लगावला	1	0.00234192
लसनिर्मिती	1	0.00234192
लिहित	1	0.00234192
लोकं	1	0.00234192
लोकसंख्या	1	0.00234192
लोकसभेच्या	1	0.00234192
ळेत	1	0.00234192
वयोवृद्धी	1	0.00234192
वर	1	0.00234192
वाटत	1	0.00234192
वापरली	1	0.00234192
वापरले	1	0.00234192
विद्यार्थ्यांसाठी	1	0.00234192
विधानसभेसाठीचं	1	0.00234192
विभागाच्या	1	0.00234192
विरोधकांच्या	1	0.00234192
विशेषकरून	1	0.00234192
वैद्यकशास्त्रात	1	0.00234192
व्यक्तींची	1	0.00234192
शंभरपेक्षा	1	0.00234192
शकत	1	0.00234192
शक्य	1	0.00234192
शनिवारी	1	0.00234192
शब्द	1	0.00234192
शब्दांची	1	0.00234192
शहरातील	1	0.00234192
शा	1	0.00234192
शाळा	1	0.00234192
शिक्षकांना	1	0.00234192
शिवसेनेच्या	1	0.00234192
शिवसेनेने	1	0.00234192
संबंध	1	0.00234192
संवर्धनाद्वारे	1	0.00234192
संवर्धनामुळे	1	0.00234192
संशोधन	1	0.00234192
सक्तीची	1	0.00234192
सचिव	1	0.00234192
सध्याचे	1	0.00234192
समजावतो	1	0.00234192
समितीचे	1	0.00234192
सांगितले	1	0.00234192
सांगितल्यामुळे	1	0.00234192
सामान्य	1	0.00234192
सारं	1	0.00234192
सार्थ	1	0.00234192
सोनी	1	0.00234192
सोन्याचे	1	0.00234192
सोमवारी	1	0.00234192
हॅास्पीटलला	1	0.00234192
होणारा	1	0.00234192
होतं	1	0.00234192
होतात	1	0.00234192
होतो	1	0.00234192
होय	1	0.00234192
ह्या	1	0.00234192
१८	1	0.00234192
२५	1	0.00234192
२९८	1	0.00234192
३	1	0.00234192
३०	1	0.00234192
५९८	1	0.00234192
ॲाक्सीजनचा	1	0.00234192
