w1	w2	count	p_cond
लोगों	को	2	0.33333333
लोगों	ने	2	0.33333333
व्यापारी	ने	2	1.00000000
शाखा	प्रबंधक	2	0.66666667
सकते	हैं	2	1.00000000
सरकार	को	2	0.50000000
से	चेक	2	0.06451613
से	बात	2	0.06451613
है	इस	2	0.06451613
हो	गई	2	0.25000000
हो	चुकी	2	0.25000000
"	समाचार	1	0.50000000
"	हम	1	0.50000000
'	के	1	0.50000000
'	डीपीए	1	0.50000000
(	एक्यूआई	1	1.00000000
)	का	1	1.00000000
